datetime,snow
20170303 235900,0.0
20170304 000000,0.03
20170304 000100,-0.03
20170304 000200,-0.02
20170304 000300,-0.02
20170304 000400,0.0
20170304 000500,-0.02
20170304 000600,-0.02
20170304 000700,-0.02
20170304 000800,-0.02
20170304 000900,-0.04
20170304 001000,-0.04
20170304 001100,-0.04
20170304 001200,-0.01
20170304 001300,-0.01
20170304 001400,-0.03
20170304 001500,-0.03
20170304 001600,-0.03
20170304 001700,-0.0
20170304 001800,-0.03
20170304 001900,-0.03
20170304 002000,-0.05
20170304 002100,-0.03
20170304 002200,-0.02
20170304 002300,-0.05
20170304 002400,-0.07
20170304 002500,-0.05
20170304 002600,-0.07
20170304 002700,-0.04
20170304 002800,-0.04
20170304 002900,-0.04
20170304 003000,-0.06
20170304 003100,-0.09
20170304 003200,-0.06
20170304 003300,-0.06
20170304 003400,-0.08
20170304 003500,-0.08
20170304 003600,-0.05
20170304 003700,-0.08
20170304 003800,-0.05
20170304 003900,-0.07
20170304 004000,-0.07
20170304 004100,-0.07
20170304 004200,-0.04
20170304 004300,-0.02
20170304 004400,-0.07
20170304 004500,-0.04
20170304 004600,-0.03
20170304 004700,-0.06
20170304 004800,-0.06
20170304 004900,-0.05
20170304 005000,-0.08
20170304 005100,-0.05
20170304 005200,-0.07
20170304 005300,-0.07
20170304 005400,-0.07
20170304 005500,-0.07
20170304 005600,-0.02
20170304 005700,-0.04
20170304 005800,-0.04
20170304 005900,-0.04
20170304 010000,-0.04
20170304 010100,-0.04
20170304 010200,-0.03
20170304 010300,-0.03
20170304 010400,-0.05
20170304 010500,-0.05
20170304 010600,-0.03
20170304 010700,-0.05
20170304 010800,-0.05
20170304 010900,-0.02
20170304 011000,-0.05
20170304 011100,-0.05
20170304 011200,-0.04
20170304 011300,-0.02
20170304 011400,-0.04
20170304 011500,-0.04
20170304 011600,-0.04
20170304 011700,-0.04
20170304 011800,-0.01
20170304 011900,-0.06
20170304 012000,-0.06
20170304 012100,-0.06
20170304 012200,-0.05
20170304 012300,-0.05
20170304 012400,-0.05
20170304 012500,-0.07
20170304 012600,-0.02
20170304 012700,-0.04
20170304 012800,-0.04
20170304 012900,-0.06
20170304 013000,-0.06
20170304 013100,-0.06
20170304 013200,-0.06
20170304 013300,-0.06
20170304 013400,-0.05
20170304 013500,-0.08
20170304 013600,-0.07
20170304 013700,-0.07
20170304 013800,-0.05
20170304 013900,-0.04
20170304 014000,-0.04
20170304 014100,-0.06
20170304 014200,-0.06
20170304 014300,-0.06
20170304 014400,-0.06
20170304 014500,-0.06
20170304 014600,-0.05
20170304 014700,-0.05
20170304 014800,-0.05
20170304 014900,-0.05
20170304 015000,-0.04
20170304 015100,-0.07
20170304 015200,-0.07
20170304 015300,-0.04
20170304 015400,-0.04
20170304 015500,-0.01
20170304 015600,-0.01
20170304 015700,-0.0
20170304 015800,-0.03
20170304 015900,-0.03
20170304 020000,-0.02
20170304 020100,-0.02
20170304 020200,-0.02
20170304 020300,0.01
20170304 020400,-0.02
20170304 020500,-0.02
20170304 020600,-0.01
20170304 020700,-0.01
20170304 020800,-0.01
20170304 020900,0.02
20170304 021000,-0.01
20170304 021100,0.02
20170304 021200,-0.0
20170304 021300,-0.0
20170304 021400,0.03
20170304 021500,0.03
20170304 021600,0.01
20170304 021700,0.03
20170304 021800,0.03
20170304 021900,0.04
20170304 022000,0.04
20170304 022100,0.01
20170304 022200,0.04
20170304 022300,0.02
20170304 022400,0.02
20170304 022500,0.02
20170304 022600,0.02
20170304 022700,0.03
20170304 022800,0.0
20170304 022900,0.03
20170304 023000,0.03
20170304 023100,0.01
20170304 023200,0.03
20170304 023300,0.04
20170304 023400,0.04
20170304 023500,0.04
20170304 023600,0.04
20170304 023700,0.04
20170304 023800,0.04
20170304 023900,0.05
20170304 024000,0.05
20170304 024100,0.05
20170304 024200,0.03
20170304 024300,0.03
20170304 024400,0.03
20170304 024500,0.06
20170304 024600,0.06
20170304 024700,0.06
20170304 024800,0.04
20170304 024900,0.06
20170304 025000,0.09
20170304 025100,0.07
20170304 025200,0.07
20170304 025300,0.07
20170304 025400,0.05
20170304 025500,0.07
20170304 025600,0.07
20170304 025700,0.08
20170304 025800,0.08
20170304 025900,0.05
20170304 030000,0.08
20170304 030100,0.05
20170304 030200,0.08
20170304 030300,0.08
20170304 030400,0.09
20170304 030500,0.09
20170304 030600,0.06
20170304 030700,0.04
20170304 030800,0.07
20170304 030900,0.07
20170304 031000,0.07
20170304 031100,0.04
20170304 031200,0.07
20170304 031300,0.07
20170304 031400,0.1
20170304 031500,0.07
20170304 031600,0.07
20170304 031700,0.05
20170304 031800,0.08
20170304 031900,0.05
20170304 032000,0.08
20170304 032100,0.08
20170304 032200,0.06
20170304 032300,0.06
20170304 032400,0.06
20170304 032500,0.06
20170304 032600,0.03
20170304 032700,0.06
20170304 032800,0.06
20170304 032900,0.06
20170304 033000,0.06
20170304 033100,0.09
20170304 033200,0.06
20170304 033300,0.06
20170304 033400,0.06
20170304 033500,0.07
20170304 033600,0.07
20170304 033700,0.07
20170304 033800,0.09
20170304 033900,0.09
20170304 034000,0.09
20170304 034100,0.12
20170304 034200,0.12
20170304 034300,0.1
20170304 034400,0.1
20170304 034500,0.1
20170304 034600,0.1
20170304 034700,0.1
20170304 034800,0.08
20170304 034900,0.08
20170304 035000,0.13
20170304 035100,0.13
20170304 035200,0.13
20170304 035300,0.11
20170304 035400,0.13
20170304 035500,0.13
